Gender,Months,Severely Stunted,Stunted Start     ,Stunted End,Normal Start,Normal End,Tall
Female,148,132.4,132.5,139.2,139.3,166.9,167
Female,149,132.8,132.9,139.7,139.8,167.4,167.5
Female,150,133.2,133.3,140.1,140.2,167.8,167.9
Female,151,133.6,133.7,140.5,140.6,168.3,168.4
Female,152,134,134.1,140.9,141,168.7,168.8
Female,153,134.4,134.5,141.3,141.4,169.1,169.2
Female,154,134.7,134.8,141.7,141.8,169.5,169.6
Female,155,135.1,135.2,142,142.1,169.9,170
Female,156,135.5,135.6,142.4,142.5,170.3,170.4
Female,157,135.8,135.9,142.7,142.8,170.6,170.7
Female,158,136.1,136.2,143.1,143.2,171,171.1
Female,159,136.4,136.5,143.4,143.5,171.3,171.4
Female,160,136.8,136.9,143.7,143.8,171.6,171.7
Female,161,137.1,137.2,144,144.1,171.9,172
Female,162,137.3,137.4,144.3,144.4,172.2,172.3
Female,163,137.6,137.7,144.6,144.7,172.5,172.6
Female,164,137.9,138,144.8,144.9,172.7,172.8
Female,165,138.1,138.2,145.1,145.2,173,173.1
Female,166,138.4,138.5,145.3,145.4,173.2,173.3
Female,167,138.6,138.7,145.6,145.7,173.5,173.6
Female,168,138.9,139,145.8,145.9,173.7,173.8
Female,169,139.1,139.2,146,146.1,173.9,174
Female,170,139.3,139.4,146.2,146.3,174.1,174.2
Female,171,139.5,139.6,146.4,146.5,174.2,174.3
Female,172,139.7,139.8,146.6,146.7,174.4,174.5
Female,173,139.9,140,146.8,146.9,174.6,174.7
Female,174,140,140.1,147,147.1,174.7,174.8
Female,175,140.2,140.3,147.1,147.2,174.9,175
Female,176,140.4,140.5,147.3,147.4,175,175.1
Female,177,140.5,140.6,147.4,147.5,175.1,175.2
Female,178,140.7,140.8,147.6,147.7,175.2,175.3
Female,179,140.8,140.9,147.7,147.8,175.3,175.4
Female,180,140.9,141,147.8,147.9,175.4,175.5
Female,181,141.1,141.2,147.9,148,175.5,175.6
Female,182,141.2,141.3,148,148.1,175.6,175.7
Female,183,141.3,141.4,148.1,148.2,175.7,175.8
Female,184,141.4,141.5,148.2,148.3,175.7,175.8
Female,185,141.5,141.6,148.3,148.4,175.8,175.9
Female,186,141.6,141.7,148.4,148.5,175.9,176
Female,187,141.7,141.8,148.5,148.6,175.9,176
Female,188,141.8,141.9,148.6,148.7,176,176.1
Female,189,141.8,141.9,148.6,148.7,176,176.1
Female,190,141.9,142,148.7,148.8,176,176.1
Female,191,142,142.1,148.8,148.9,176.1,176.2
Female,192,142.1,142.2,148.8,148.9,176.1,176.2
Female,193,142.1,142.2,148.9,149,176.1,176.2
Female,194,142.2,142.3,149,149.1,176.1,176.2
Female,195,142.2,142.3,149,149.1,176.2,176.3
Female,196,142.3,142.4,149.1,149.2,176.2,176.3
Female,197,142.3,142.4,149.1,149.2,176.2,176.3
Female,198,142.4,142.5,149.1,149.2,176.2,176.3
Female,199,142.4,142.5,149.2,149.3,176.2,176.3
Female,200,142.5,142.6,149.2,149.3,176.2,176.3
Female,201,142.5,142.6,149.3,149.4,176.2,176.3
Female,202,142.6,142.7,149.3,149.4,176.2,176.3
Female,203,142.6,142.7,149.3,149.4,176.2,176.3
Female,204,142.7,142.8,149.4,149.5,176.2,176.3
Female,205,142.7,142.8,149.4,149.5,176.2,176.3
Female,206,142.8,142.9,149.4,149.5,176.2,176.3
Female,207,142.8,142.9,149.5,149.6,176.3,176.4
Female,208,142.8,142.9,149.5,149.6,176.3,176.4
Female,209,142.9,143,149.5,149.6,176.3,176.4
Female,210,142.9,143,149.6,149.7,176.3,176.4
Female,211,143,143.1,149.6,149.7,176.3,176.4
Female,212,143,143.1,149.6,149.7,176.3,176.4
Female,213,143,143.1,149.7,149.8,176.3,176.4
Female,214,143.1,143.2,149.7,149.8,176.3,176.4
Female,215,143.1,143.2,149.7,149.8,176.3,176.4
Female,216,143.1,143.2,149.7,149.8,176.3,176.4
Female,217,143.2,143.3,149.8,149.9,176.3,176.4
Female,218,143.2,143.3,149.8,149.9,176.3,176.4
Female,219,143.2,143.3,149.8,149.9,176.3,176.4
Female,220,143.3,143.4,149.8,149.9,176.3,176.4
Female,221,143.3,143.4,149.9,150,176.3,176.4
Female,222,143.3,143.4,149.9,150,176.3,176.4
Female,223,143.3,143.4,149.9,150,176.3,176.4
Female,224,143.4,143.5,149.9,150,176.3,176.4
Female,225,143.4,143.5,149.9,150,176.3,176.4
Female,226,143.4,143.5,149.9,150,176.3,176.4
Female,227,143.4,143.5,150,150.1,176.2,176.3
Female,228,143.4,143.5,150,150.1,176.2,176.3
